hidden_sizes,learning_rate,dropout,batch_size,val_loss,val_acc,time_s
"[256, 128, 64, 128, 256]",0.001,0.2,128,0.9484488368034363,0.4276315789473684,3.1
"[256, 128, 64, 128, 256]",0.0005,0.3,128,0.9554010629653931,0.4407894736842105,3.2
"[256, 128, 64, 128, 256]",0.001,0.3,128,0.9570391178131104,0.4407894736842105,4.1
"[128, 64, 32, 64, 128]",0.001,0.2,128,0.9575321972370148,0.4144736842105263,4.7
"[128, 64, 32, 64, 128]",0.0005,0.2,128,0.9599547684192657,0.4276315789473684,6.4
"[256, 128, 64, 128, 256]",0.001,0.4,128,0.9613229036331177,0.45394736842105265,3.5
"[256, 128, 64, 128, 256]",0.0005,0.2,128,0.9634360671043396,0.42105263157894735,3.3
"[256, 128, 64, 128, 256]",0.0005,0.4,128,0.9646561741828918,0.4605263157894737,5.9
"[256, 128, 256]",0.001,0.4,128,0.9654204845428467,0.4276315789473684,2.2
"[128, 64, 128]",0.001,0.3,128,0.9699320197105408,0.45394736842105265,2.0
"[256, 128, 256]",0.0005,0.3,128,0.9699598252773285,0.42105263157894735,2.3
"[128, 64, 128]",0.0005,0.3,128,0.970327228307724,0.4342105263157895,2.1
"[256, 128, 256]",0.0005,0.4,128,0.9704017341136932,0.4473684210526316,2.4
"[256, 128, 64, 128, 256]",0.0001,0.3,128,0.9707773625850677,0.4473684210526316,8.6
"[256, 128, 256]",0.0001,0.3,128,0.9713215529918671,0.40789473684210525,4.1
"[128, 64, 128]",0.001,0.2,128,0.9715569317340851,0.40789473684210525,1.7
"[256, 128, 64, 128, 256]",0.0001,0.2,128,0.9718394875526428,0.4342105263157895,4.4
"[256, 128, 256]",0.001,0.3,128,0.9724825024604797,0.42105263157894735,2.4
"[256, 128, 64, 128, 256]",0.001,0.3,64,0.9735747774442037,0.4473684210526316,5.5
"[128, 64, 128]",0.001,0.4,128,0.9756158590316772,0.45394736842105265,2.1
"[128, 64, 128]",0.0005,0.2,128,0.9757751524448395,0.45394736842105265,2.1
"[256, 128, 256]",0.0001,0.4,128,0.9759535789489746,0.3684210526315789,4.4
"[128, 64, 128]",0.0001,0.2,128,0.9760856032371521,0.4473684210526316,4.5
"[128, 64, 32, 64, 128]",0.001,0.3,128,0.9770799279212952,0.4144736842105263,5.4
"[256, 128, 64, 128, 256]",0.0005,0.3,64,0.9787072936693827,0.4276315789473684,7.5
"[256, 128, 256]",0.0005,0.2,128,0.9793076813220978,0.42105263157894735,2.3
"[256, 128, 256]",0.0001,0.2,128,0.9794950187206268,0.42105263157894735,4.0
"[128, 64, 32, 64, 128]",0.0001,0.2,128,0.9798398315906525,0.40131578947368424,8.7
"[128, 64, 128]",0.0005,0.4,128,0.981545627117157,0.4276315789473684,2.2
"[128, 64, 32, 64, 128]",0.001,0.4,128,0.9820694029331207,0.46710526315789475,8.1
"[128, 64, 128]",0.0001,0.3,128,0.9821289479732513,0.4276315789473684,4.4
"[256, 128, 256]",0.001,0.2,128,0.983600914478302,0.39473684210526316,1.8
"[128, 64, 32, 64, 128]",0.001,0.2,64,0.9846378962198893,0.45394736842105265,5.3
"[256, 128, 64, 128, 256]",0.0001,0.4,128,0.9857294261455536,0.40131578947368424,8.6
"[256, 128, 256]",0.001,0.2,64,0.986489991346995,0.4276315789473684,4.5
"[256, 128, 64, 128, 256]",0.0001,0.3,64,0.9885117808977762,0.4473684210526316,12.4
"[128, 64, 32, 64, 128]",0.0005,0.3,128,0.9892973899841309,0.40789473684210525,5.2
"[256, 128, 256]",0.001,0.3,64,0.9898227055867513,0.4473684210526316,5.2
"[128, 64, 128]",0.0001,0.4,128,0.9898359179496765,0.4144736842105263,6.0
"[256, 128, 64, 128, 256]",0.0005,0.2,64,0.9902732769648234,0.4144736842105263,5.6
"[128, 64, 32, 64, 128]",0.001,0.3,64,0.9912281632423401,0.4473684210526316,8.2
"[128, 64, 128]",0.001,0.3,64,0.9915177623430887,0.4342105263157895,4.5
"[256, 128, 64, 128, 256]",0.0005,0.4,64,0.9916358590126038,0.4407894736842105,5.8
"[256, 128, 64, 128, 256]",0.001,0.2,64,0.9939333995183309,0.4605263157894737,4.6
"[128, 64, 32, 64, 128]",0.0005,0.4,128,0.9944367110729218,0.4407894736842105,7.2
"[128, 64, 32, 64, 128]",0.0005,0.2,64,0.9947087566057841,0.4407894736842105,6.4
"[256, 128, 256]",0.0001,0.3,64,0.9947798053423563,0.39473684210526316,6.5
"[128, 64, 128]",0.0005,0.3,64,0.9950503706932068,0.40789473684210525,4.3
"[256, 128, 64, 128, 256]",0.0001,0.2,64,0.9959467649459839,0.42105263157894735,6.7
"[128, 64, 128]",0.0001,0.2,64,0.9960439403851827,0.4342105263157895,7.8
"[256, 128, 256]",0.001,0.4,64,0.9969571630160013,0.45394736842105265,2.9
"[128, 64, 128]",0.001,0.2,64,0.9969778855641683,0.42105263157894735,4.1
"[128, 64, 128]",0.0005,0.2,64,0.9971585075060526,0.4342105263157895,4.0
"[256, 128, 64, 128, 256]",0.001,0.4,64,0.9982717831929525,0.4407894736842105,5.8
"[128, 64, 128]",0.001,0.4,64,0.9989985227584839,0.40789473684210525,4.4
"[256, 128, 256]",0.0001,0.4,64,1.0007167061169941,0.4342105263157895,6.4
"[256, 128, 256]",0.0005,0.3,64,1.0015783905982971,0.4276315789473684,4.3
"[128, 64, 128]",0.0005,0.4,64,1.0019671718279521,0.4407894736842105,5.7
"[256, 128, 64, 128, 256]",0.0001,0.4,64,1.0034270286560059,0.40789473684210525,13.5
"[64, 32, 64]",0.001,0.4,128,1.0036516785621643,0.45394736842105265,5.1
"[256, 128, 256]",0.0005,0.2,64,1.0039483904838562,0.3815789473684211,2.9
"[256, 128, 64, 128, 256]",0.001,0.3,256,1.0042119026184082,0.4473684210526316,1.5
"[128, 64, 32, 64, 128]",0.0005,0.3,64,1.0044001340866089,0.4342105263157895,6.7
"[256, 128, 256]",0.0005,0.4,64,1.004789650440216,0.42105263157894735,3.2
"[256, 128, 256]",0.0001,0.2,64,1.0053162376085918,0.4276315789473684,6.4
"[64, 32, 64]",0.001,0.2,128,1.0079736411571503,0.42105263157894735,2.3
"[128, 64, 128]",0.0001,0.3,64,1.007998764514923,0.4276315789473684,15.4
"[64, 32, 64]",0.0005,0.2,128,1.0081343054771423,0.4144736842105263,5.4
"[256, 128, 64, 128, 256]",0.0001,0.2,256,1.0083682537078857,0.4144736842105263,4.7
"[256, 128, 64, 128, 256]",0.001,0.4,256,1.0089459419250488,0.45394736842105265,2.6
"[128, 64, 32, 64, 128]",0.001,0.4,64,1.0097979704538982,0.45394736842105265,8.3
"[128, 64, 32, 64, 128]",0.0001,0.2,64,1.0098304549853008,0.39473684210526316,9.8
"[64, 32, 64]",0.001,0.4,64,1.0101220607757568,0.4605263157894737,10.6
"[256, 128, 64, 128, 256]",0.0005,0.4,256,1.0102871656417847,0.39473684210526316,2.7
"[64, 32, 64]",0.0005,0.4,128,1.0104711055755615,0.48026315789473684,7.4
"[256, 128, 64, 128, 256]",0.0005,0.3,256,1.0121959447860718,0.42105263157894735,2.8
"[64, 32, 64]",0.0005,0.3,128,1.0122559070587158,0.45394736842105265,5.2
"[256, 128, 256]",0.001,0.3,256,1.0130102634429932,0.4342105263157895,1.6
"[128, 64, 128]",0.0001,0.4,64,1.014583985010783,0.40131578947368424,6.6
"[64, 32, 64]",0.0005,0.3,64,1.014761209487915,0.4407894736842105,7.7
"[256, 128, 256]",0.001,0.4,256,1.0151984691619873,0.40789473684210525,1.6
"[128, 64, 32, 64, 128]",0.0001,0.4,128,1.0153529644012451,0.3684210526315789,15.7
"[128, 64, 32, 64, 128]",0.0005,0.4,64,1.0154013236363728,0.4473684210526316,12.5
"[64, 32, 64]",0.0005,0.2,64,1.016074538230896,0.45394736842105265,7.7
"[128, 64, 32, 64, 128]",0.001,0.3,256,1.0161184072494507,0.45394736842105265,3.5
"[64, 32, 64]",0.001,0.3,64,1.0161272684733074,0.4407894736842105,7.7
"[256, 128, 64, 128, 256]",0.0001,0.4,256,1.0168344974517822,0.40131578947368424,5.1
"[256, 128, 256]",0.0005,0.3,256,1.017364263534546,0.40789473684210525,1.4
"[256, 128, 64, 128, 256]",0.001,0.2,256,1.0175174474716187,0.4342105263157895,1.5
"[256, 128, 64, 128, 256]",0.0005,0.2,256,1.0180457830429077,0.4473684210526316,1.8
"[64, 32, 64]",0.001,0.2,64,1.0181043942769368,0.45394736842105265,4.1
"[128, 64, 32, 64, 128]",0.001,0.2,256,1.0186468362808228,0.4407894736842105,2.6
"[256, 128, 256]",0.0005,0.2,256,1.019000768661499,0.4342105263157895,1.3
"[256, 128, 64, 128, 256]",0.0001,0.3,256,1.019010305404663,0.3815789473684211,5.0
"[128, 64, 32, 64, 128]",0.0001,0.3,128,1.019365906715393,0.3881578947368421,8.5
"[128, 64, 128]",0.001,0.4,256,1.020460844039917,0.4276315789473684,2.6
"[64, 32, 64]",0.0001,0.2,128,1.0205621123313904,0.39473684210526316,5.3
"[256, 128, 256]",0.0005,0.4,256,1.0214439630508423,0.4144736842105263,1.7
"[128, 64, 32, 64, 128]",0.0001,0.3,64,1.0214944084485371,0.40131578947368424,17.5
"[64, 32, 64]",0.001,0.3,128,1.022621363401413,0.42105263157894735,2.9
"[256, 128, 256]",0.0001,0.2,256,1.0231943130493164,0.40789473684210525,1.9
"[128, 64, 128]",0.001,0.3,256,1.023481845855713,0.42105263157894735,2.0
"[256, 128, 256]",0.0001,0.3,256,1.0247160196304321,0.40131578947368424,3.9
"[64, 32, 64]",0.001,0.2,256,1.0247347354888916,0.4473684210526316,3.0
"[256, 128, 256]",0.001,0.2,256,1.0248839855194092,0.40131578947368424,1.2
"[128, 64, 32, 64, 128]",0.001,0.4,256,1.025072455406189,0.40131578947368424,2.4
"[256, 128, 256]",0.0001,0.4,256,1.0258252620697021,0.40131578947368424,4.0
"[128, 64, 128]",0.0005,0.4,256,1.0277085304260254,0.4144736842105263,2.7
"[128, 64, 32, 64, 128]",0.0005,0.3,256,1.0277600288391113,0.4342105263157895,5.0
"[128, 64, 128]",0.001,0.2,256,1.027901530265808,0.39473684210526316,2.0
"[64, 32, 64]",0.0005,0.4,64,1.0280264814694722,0.39473684210526316,13.6
"[128, 64, 128]",0.0001,0.3,256,1.0281333923339844,0.42105263157894735,2.7
"[64, 32, 64]",0.0001,0.2,64,1.0290169318517048,0.4276315789473684,9.3
"[64, 32, 64]",0.0001,0.3,128,1.0292835235595703,0.3881578947368421,5.2
"[128, 64, 32, 64, 128]",0.0001,0.4,64,1.0293254057566326,0.35526315789473684,29.4
"[128, 64, 128]",0.0005,0.2,256,1.0296446084976196,0.4276315789473684,1.2
"[128, 64, 128]",0.0005,0.3,256,1.03035306930542,0.4342105263157895,1.2
"[64, 32, 64]",0.001,0.3,256,1.030621886253357,0.4605263157894737,2.5
"[64, 32, 64]",0.0001,0.3,64,1.0311882495880127,0.40131578947368424,13.5
"[128, 64, 32, 64, 128]",0.0005,0.2,256,1.031754970550537,0.4144736842105263,3.3
"[128, 64, 32, 64, 128]",0.0005,0.4,256,1.032085657119751,0.4473684210526316,5.8
"[128, 64, 128]",0.0001,0.4,256,1.0321811437606812,0.4407894736842105,2.8
"[128, 64, 128]",0.0001,0.2,256,1.0324342250823975,0.42105263157894735,2.6
"[128, 64, 32, 64, 128]",0.0001,0.2,256,1.0332716703414917,0.40789473684210525,6.8
"[64, 32, 64]",0.0001,0.4,128,1.0348175764083862,0.40789473684210525,10.9
"[64, 32, 64]",0.0005,0.2,256,1.0374457836151123,0.4342105263157895,3.1
"[128, 64, 32, 64, 128]",0.0001,0.3,256,1.0382860898971558,0.39473684210526316,10.1
"[64, 32, 64]",0.0005,0.3,256,1.0419225692749023,0.4144736842105263,2.4
"[64, 32, 64]",0.0001,0.4,64,1.0421082576115925,0.3684210526315789,13.7
"[64, 32, 64]",0.0001,0.2,256,1.0426961183547974,0.3815789473684211,5.2
"[64, 32, 64]",0.001,0.4,256,1.0454398393630981,0.40789473684210525,2.4
"[64, 32, 64]",0.0005,0.4,256,1.046095848083496,0.39473684210526316,5.4
"[64, 32, 64]",0.0001,0.3,256,1.048754334449768,0.3684210526315789,5.4
"[64, 32, 64]",0.0001,0.4,256,1.0535438060760498,0.39473684210526316,5.5
"[128, 64, 32, 64, 128]",0.0001,0.4,256,1.0618736743927002,0.2894736842105263,9.8
